model,RMSE,MAE,R2
hist_gradient_boosting_tuned,223098.05092099577,71125.7575286395,0.9151607711056357
hist_gradient_boosting,225945.2661116438,72813.71963557017,0.9129814878113628
gradient_boosting_tuned,237539.28471365414,87797.02155454131,0.9038219319489517
gradient_boosting,252346.48290673032,92690.91914274516,0.8914575369141988
random_forest,253867.82838342604,80760.4568451474,0.8901448310452975
extra_trees,265240.4493474519,78368.41745036453,0.8800819189389844
linear_regression,287225.6696719994,107747.59713149263,0.859378520900528
lasso,287773.0775288212,107703.53897455905,0.8588420043975147
ridge,289154.7369905085,107668.69616853935,0.8574832916400399
